"Status";"Gas Day Start";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)"
"E";"2024-04-06";"676.4762";"59.9";"0.24";"2961.49";"218.6";"1129.3496";"11658.14";"19839.11"
"E";"2024-04-05";"673.7138";"59.66";"0.16";"2171.73";"362.4";"1129.3496";"11658.3";"19838.7"
"E";"2024-04-04";"671.9065";"59.49";"0.04";"1479.94";"643.3";"1129.3496";"11669.79";"19846.98"
"C";"2024-04-03";"671.4747";"59.46";"0.05";"1189.07";"928.2";"1129.3496";"11680";"19772.47"
"C";"2024-04-02";"670.8705";"59.42";"0.14";"1289.29";"905.6";"1129.1067";"11681.53";"19791.76"
"E";"2024-04-01";"669.3293";"59.28";"0.31";"2140.47";"1979.7";"1129.1067";"11656.91";"19783.69"
"E";"2024-03-31";"665.8156";"58.34";"-0.36";"2897.63";"679";"1141.1917";"11665.41";"19884.71"
"E";"2024-03-30";"669.8959";"58.7";"-0.01";"1404.9";"1297.3";"1141.2193";"11478.16";"19597.91"
"C";"2024-03-29";"669.9625";"58.71";"0";"1236.33";"1211.9";"1141.2193";"11665.31";"19923.38"
"C";"2024-03-28";"669.96";"58.71";"-0.1";"807.65";"1938.4";"1141.2193";"11665.23";"19927.05"
"C";"2024-03-27";"671.1362";"58.81";"-0.1";"691.05";"1803.2";"1141.2193";"11665.17";"19923.74"
"C";"2024-03-26";"672.2416";"58.91";"-0.1";"650.84";"1710.8";"1141.2193";"11665.07";"19924.01"
"E";"2024-03-25";"673.4197";"59.01";"-0.17";"545.81";"2405.6";"1141.2193";"11664.96";"19924.3"
"E";"2024-03-24";"675.3172";"59.18";"-0.03";"1117.39";"1423.1";"1141.2193";"11664.87";"19924.52"
"E";"2024-03-23";"675.6202";"59.2";"0.02";"1252.29";"1038.1";"1141.2193";"11664.82";"19924.66"
"E";"2024-03-22";"675.4125";"59.18";"-0.03";"1019.22";"1280.4";"1141.2193";"11664.75";"19924.83"
"E";"2024-03-21";"675.7109";"59.21";"-0.07";"830.19";"1620.9";"1141.2193";"11664.68";"19925.03"
"E";"2024-03-20";"676.5302";"59.28";"-0.1";"736.41";"1897.7";"1141.2193";"11655.62";"19902.06"
"E";"2024-03-19";"677.7151";"59.39";"-0.14";"689.41";"2269.4";"1141.2193";"11664.56";"19934.34"
"E";"2024-03-18";"679.3268";"59.53";"-0.14";"524.93";"2139.4";"1141.2193";"11664.5";"19934.5"
"E";"2024-03-17";"680.9738";"59.67";"-0.04";"1012.05";"1438.9";"1141.2193";"11664.41";"19934.75"
"E";"2024-03-16";"681.4045";"59.71";"-0.03";"1056.12";"1419.6";"1141.2193";"11664.35";"19934.89"
"E";"2024-03-15";"681.7717";"59.74";"-0.12";"1026.49";"1478.2";"1141.287";"11664.31";"19935.02"
"E";"2024-03-14";"683.1474";"59.86";"-0.02";"850.17";"1983.4";"1141.287";"11664.05";"19935.7"
