"Status";"Gas Day Start";"LNG Inventory (10³ ㎥ LNG)";"LNG Inventory (~GWh)";"Technical Capacity / DTMI (10³ ㎥ LNG)";"Technical Capacity / DTMI (~GWh)";"Send-Out (GWh/d)";"DTRS (GWh/d)"
"E";"2024-04-21";"5188.14";"35040.03";"8601.49";"58093.36";"3409.6";"7023.6"
"E";"2024-04-20";"5029.65";"33928.5";"8601.49";"58023.05";"3250.3";"7023.5"
"E";"2024-04-19";"4948.85";"33334.87";"8601.49";"57938.62";"3247.3";"7023.3"
"E";"2024-04-18";"4802.75";"32320.71";"8601.49";"57884.81";"3309.2";"7023.3"
"E";"2024-04-17";"4885.1";"32819.26";"8601.49";"57786.85";"3573.6";"7023.5"
"E";"2024-04-16";"4610.26";"30952.07";"8601.49";"57748.14";"3575.3";"7021.5"
"E";"2024-04-15";"5017.3";"33687.19";"8601.49";"57752.18";"3495.3";"7018.7"
"E";"2024-04-14";"5134";"34409.03";"8601.49";"57648.8";"3421";"7018.7"
"E";"2024-04-13";"4761.28";"31970.76";"8601.49";"57756.77";"3400.4";"7018.5"
"E";"2024-04-12";"4656.03";"31165.31";"8601.49";"57574.39";"3435.7";"7018.5"
"E";"2024-04-11";"4831.99";"32354.96";"8601.49";"57595.5";"3377";"7018.5"
"E";"2024-04-10";"4721.29";"31583.55";"8601.49";"57540.54";"3497.3";"7022.2"
"E";"2024-04-09";"4609.87";"30876.48";"8601.49";"57611.98";"3453.9";"7024.1"
"E";"2024-04-08";"4568.08";"30590.4";"8601.49";"57600.35";"3396.8";"7024"
"E";"2024-04-07";"4443.78";"29820.91";"8601.49";"57722.09";"3562.7";"7023.9"
"E";"2024-04-06";"4666.48";"31162.11";"8601.49";"57439.56";"3483.4";"7023.7"
"E";"2024-04-05";"4688.05";"31448.13";"8601.49";"57700.06";"3601.3";"7023.8"
"E";"2024-04-04";"4439.15";"29784.76";"8601.49";"57712.25";"3823.8";"7023.8"
"E";"2024-04-03";"4158.92";"27947.82";"8601.49";"57801.76";"3767.6";"7023.7"
"E";"2024-04-02";"4298.53";"28845.91";"8601.49";"57721.55";"3487.1";"7023.6"
"E";"2024-04-01";"4305.92";"28882.54";"8601.49";"57695.66";"2974";"7015.5"
"E";"2024-03-31";"3864.68";"25908.04";"8601.49";"57662.66";"2862.9";"7015.9"
"E";"2024-03-30";"4148.59";"27812.02";"8601.49";"57664.12";"3017.4";"6979.8"
"E";"2024-03-29";"4143.46";"27811.25";"8601.49";"57733.92";"3121.2";"7015.9"
"E";"2024-03-28";"4304.67";"28639.22";"8601.49";"57226.21";"3020.8";"7015.8"
